Rk,Player,Tm,2012-13
167,Luke Ridnour,MIN,$4000000
168,Mario Chalmers,MIA,$4000000
169,Steve Blake,LAL,$4000000
170,Chauncey Billups,LAC,$4000000
171,Ian Mahinmi,IND,$4000000
172,Carl Landry,GSW,$4000000
173,Brandon Rush,GSW,$4000000
174,Hakim Warrick,CHA,$4000000
175,Anthony Morrow,ATL,$4000000
176,Stephen Curry,GSW,$3958742
177,Tiago Splitter,SAS,$3944000
178,Kirk Hinrich,CHI,$3941000
179,Tristan Thompson,CLE,$3894240
180,DeMarcus Cousins,SAC,$3880800
181,Roshown McLeod,BOS,
182,Mike Dunleavy,MIL,$3750000
183,Joel Anthony,MIA,$3750000
184,Ricky Rubio,MIN,$3741120
185,Dion Waiters,CLE,$3726600
186,Matt Bonner,SAS,$3630000
187,Thabo Sefolosha,OKC,$3600000
188,Jordan Hill,LAL,$3563600
189,Ekpe Udoh,MIL,$3524880
190,Danny Green,SAS,$3500000
191,Shannon Brown,PHO,$3500000
192,Matt Carroll,NOH,$3500000
193,Chris Duhon,LAL,$3500000
194,D.J. Augustin,IND,$3500000
195,Gerald Green,IND,$3500000
196,Alonzo Gee,CLE,$3500000
197,Johan Petro,ATL,$3500000
198,Raymond Felton,NYK,$3480453
199,Raja Bell,UTA,$3480000
200,Jonas Valanciunas,TOR,$3374640
201,Thomas Robinson,SAC,$3374640
202,DeMar DeRozan,TOR,$3344250
203,Tony Allen,MEM,$3300000
204,Aaron Brooks,SAC,$3250000
205,Will Bynum,DET,$3250000
206,Corey Brewer,DEN,$3243000
207,Greg Monroe,DET,$3217680
208,Jan Vesely,WAS,$3202920
209,Brandon Jennings,MIL,$3179493
210,Timofey Mozgov,DEN,$3140429
211,Josh McRoberts,ORL,$3135000
212,Shane Battier,MIA,$3135000
213,Gerald Henderson,CHA,$3101327
214,Daequan Cook,HOU,$3090942
215,Jason Kidd,NYK,$3090000
216,Ray Allen,MIA,$3090000
217,Vince Carter,DAL,$3090000
218,Mirza Teletovic,BRK,$3090000
219,Damian Lillard,POR,$3065040
220,Tyler Hansbrough,IND,$3055259
221,Alexey Shved,MIN,$3017943
222,Joel Freeland,POR,$3013512
223,Darrell Arthur,MEM,$3006217
224,Travis Outlaw,SAC,$3000000
225,Lavoy Allen,PHI,$3000000
226,Jerryd Bayless,MEM,$3000000
227,Kenyon Martin,LAC,
228,Carlos Delfino,HOU,$3000000
229,Kosta Koufos,DEN,$3000000
230,Austin Daye,DET,$2958077
231,Al-Farouq Aminu,NOH,$2947800
232,Nick Collison,OKC,$2929332
233,Bismack Biyombo,CHA,$2923920
234,Dahntay Jones,DAL,$2900000
235,Ron Harper,LAL,
236,Kwame Brown,PHI,$2819044
237,James Johnson,SAC,$2812006
238,J.R. Smith,NYK,$2806452
239,Harrison Barnes,GSW,$2798040
240,Gordon Hayward,UTA,$2709720
241,Brandon Knight,DET,$2678640
242,Jrue Holiday,PHI,$2674852
243,Quentin Richardson,ORL,$2627400
244,Reggie Williams,CHA,$2612500
245,Brevin Knight,UTA,
246,Shawne Williams,POR,$2600000
247,Aaron Gray,TOR,$2575000
248,Greg Stiemsma,MIN,$2575000
249,Paul George,IND,$2574120
250,Terrence Ross,TOR,$2563320
251,Ty Lawson,DEN,$2544529
252,Randy Foye,UTA,$2500000
253,Jason Smith,NOH,$2500000
254,Kemba Walker,CHA,$2462400
255,Cole Aldrich,HOU,$2445480
256,Jeff Teague,ATL,$2433077
257,Andre Drummond,DET,$2356320
258,Jimmer Fredette,SAC,$2339040
259,Eric Maynor,OKC,$2338721
260,Xavier Henry,NOH,$2323200
261,Darren Collison,DAL,$2319344
262,Earl Watson,UTA,$2300000
263,Omri Casspi,CLE,$2277306
264,Serge Ibaka,OKC,$2253062
265,Byron Mullens,CHA,$2253062
266,DeShawn Stevenson,ATL,$2240450
267,Austin Rivers,NOH,$2238360
268,Rodrigue Beaubois,DAL,$2227333
269,C.J. Miles,CLE,$2225000
270,Klay Thompson,GSW,$2222160
271,Ed Davis,TOR,$2207040
272,Taj Gibson,CHI,$2155811
273,Meyers Leonard,POR,$2126520
274,Alec Burks,UTA,$2111160
275,Shammond Williams,LAL,
276,Elton Brand,DAL,$2100500
277,Patrick Patterson,HOU,$2096760
278,Dante Cunningham,MIN,$2090000
279,Wayne Ellington,MEM,$2083042
280,Toney Douglas,HOU,$2067880
281,Jeremy Lamb,OKC,$2020200
282,Markieff Morris,PHO,$2005560
283,Larry Sanders,MIL,$1991760
284,Grant Hill,LAC,$1957000
285,Marco Belinelli,CHI,$1957000
286,Kendall Marshall,PHO,$1919160
287,Marcus Morris,HOU,$1905360
288,Brendan Haywood,CHA,$1900000
289,Luke Babbitt,POR,$1892280
290,John Henson,MIL,$1823280
291,Kawhi Leonard,SAS,$1809840
292,Karl Malone,LAL,
293,Kevin Seraphin,WAS,$1797600
294,Jeremy Evans,UTA,$1794872
295,James Jones,MIA,$1757161
296,Martell Webster,WAS,$1750000
297,Maurice Harkless,ORL,$1731960
298,Nikola Vucevic,ORL,$1719480
299,Eric Bledsoe,LAC,$1707720
300,Renaldo Balkman,NYK,$1675000
301,Anthony Randolph,DEN,$1674641
302,Royce White,HOU,$1645440
303,Iman Shumpert,NYK,$1633440
304,Avery Bradley,BOS,$1630800
305,Reggie Evans,BRK,$1622617
306,Sebastian Telfair,PHO,$1567500
307,Tyler Zeller,CLE,$1563120
308,Chris Singleton,WAS,$1551840
309,John Lucas,TOR,$1500000
310,Gustavo Ayon,ORL,$1500000
311,James Jones,MIA,$1500000
312,Jodie Meeks,LAL,$1500000
313,Jeff Pendergraph,IND,$1500000
314,Gary Forbes,HOU,$1500000
315,Slava Kravtsov,DET,$1500000
316,Jordan Farmar,ATL,$1500000
317,Terrence Jones,HOU,$1485000
318,Tobias Harris,MIL,$1482000
319,Jared Jeffries,POR,$1475106
320,Elliot Williams,POR,$1442880
321,Andrew Nicholson,ORL,$1418160
322,Nando De Colo,SAS,$1400000
323,Trevor Booker,WAS,$1385280
324,Willie Green,LAC,$1375000
325,Nolan Smith,POR,$1365720
326,Donatas Motiejunas,HOU,$1361400
327,Evan Fournier,DEN,$1361400
328,Jamaal Tinsley,UTA,$1352181
329,Kurt Thomas,NYK,$1352181
330,Rashard Lewis,MIA,$1352181
331,Kenneth Faried,DEN,$1311240
332,Jared Sullinger,BOS,$1306920
333,Victor Claver,POR,$1300000
334,Hamed Haddadi,MEM,$1300000
335,Dominique Jones,DAL,$1276560
336,Fab Melo,BOS,$1254720
337,Earl Clark,LAL,$1240000
338,Quincy Pondexter,MEM,$1234320
339,Sasha Pavlovic,POR,$1232713
340,Reggie Jackson,OKC,$1208400
341,John Jenkins,ATL,$1204560
342,Hasheem Thabeet,OKC,$1200000
343,Jordan Crawford,WAS,$1198680
344,Greivis Vasquez,NOH,$1191240
345,Christian Eyenga,ORL,$1174080
346,Lazar Hayward,HOU,$1174080
347,MarShon Brooks,BRK,$1160040
348,Jared Cunningham,DAL,$1156320
349,Ronnie Price,POR,$1146337
350,Jordan Hamilton,DEN,$1121520
351,Tony Wroten,MEM,$1110120
352,JaJuan Johnson,HOU,$1089240
353,Patrick Mills,SAS,$1085120
354,Norris Cole,MIA,$1082520
355,Cory Joseph,SAS,$1074720
356,Miles Plumlee,IND,$1073280
357,Kelenna Azubuike,CLE,$1069509
358,Jimmy Butler,CHI,$1066920
359,Devin Ebanks,LAL,$1054389
360,Luke Harangody,CLE,$1054389
361,Luke Harangody,CLE,$1054389
362,DeJuan Blair,SAS,$1054000
363,Arnett Moultrie,PHI,$1042320
364,Perry Jones,OKC,$1035960
365,Festus Ezeli,GSW,$1020960
366,Shaun Livingston,HOU,$1000000
367,Jon Brockman,HOU,$1000000
368,Kyle Singler,DET,$1000000
369,Jeremy Pargo,CLE,$1000000
370,Dominic McGuire,TOR,$992680
371,Brandan Wright,DAL,$992680
372,C.J. Watson,BRK,$992680
373,Darius Morris,LAL,$962195
374,Ivan Johnson,ATL,$962195
375,Ishmael Smith,ORL,$910491
376,Chandler Parsons,HOU,$888250
377,DeMarre Carroll,UTA,$885120
378,Chase Budinger,MIN,$885120
379,Lance Stephenson,IND,$870000
380,Marquis Teague,CHI,$857000
381,Maurice Evans,WAS,
382,James Singleton,WAS,
383,Morris Almond,WAS,
384,Cartier Martin,WAS,$915852
385,A.J. Price,WAS,$885120
386,Alan Anderson,TOR,$885120
387,Damon Stoudamire,SAS,
388,Glenn Robinson,SAS,
389,Jacque Vaughn,SAS,
390,Nick Van Exel,SAS,
391,Gary Neal,SAS,$854389
392,Jermaine O'Neal,PHO,$1352181
393,Damien Wilkins,PHI,$1223166
394,Royal Ivey,PHI,$1223166
395,Jeremy Richardson,ORL,
396,Daniel Orton,OKC,$854389
397,Baron Davis,NYK,
398,Jared Jeffries,NYK,
399,Mike Bibby,NYK,
400,James White,NYK,$854389
401,Rasheed Wallace,NYK,$1352181
402,Ronnie Brewer,NYK,$1069509
403,Roger Mason,NOH,$1223166
404,Marquis Daniels,MIL,$1229255
405,Joel Przybilla,MIL,$1352181
406,Juwan Howard,MIA,
407,Dexter Pittman,MIA,$854389
408,Gilbert Arenas,MEM,
409,Lester Hudson,MEM,
410,Marcus Williams,MEM,
411,Leon Powe,MEM,
412,John Salley,LAL,
413,Theo Ratliff,LAL,
414,Joe Smith,LAL,
415,Jim Jackson,LAL,
416,Ira Newble,LAL,
417,Horace Grant,LAL,
418,Brian Shaw,LAL,
419,Mitch Richmond,LAL,
420,Antawn Jamison,LAL,$1352181
421,Bobby Simmons,LAC,
422,Matt Barnes,LAC,$1229255
423,Ryan Hollins,LAC,$1069509
424,Ronny Turiaf,LAC,$1146337
425,Louis Amundson,IND,$1069509
426,Earl Boykins,HOU,
427,Wesley Person,DEN,
428,Delonte West,DAL,$1223166
429,Brian Scalabrine,CHI,
430,Nate Robinson,CHI,$1146337
431,Nazr Mohammed,CHI,$1352181
432,Vladimir Radmanovic,CHI,$1352181
433,Jerry Stackhouse,BRK,$1352181
434,Keith Bogans,BRK,$1229255
435,Andray Blatche,BRK,$1146337
436,Michael Finley,BOS,
437,Michael Olowokandi,BOS,
438,P.J. Brown,BOS,
439,Scot Pollard,BOS,
440,Shaquille O'Neal,BOS,
441,Stephon Marbury,BOS,
442,Mark Bryant,BOS,
443,Grant Long,BOS,
444,Dana Barros,BOS,
445,Carlos Arroyo,BOS,
446,Jason Collins,BOS,$1352181
447,Leandro Barbosa,BOS,$1229255
448,Chris Wilcox,BOS,$1352181
449,Hilton Armstrong,ATL,
450,Randolph Morris,ATL,
451,Etan Thomas,ATL,
452,Erick Dampier,ATL,
453,Tracy McGrady,ATL,
454,Anthony Tolliver,ATL,$915852
455,Draymond Green,GSW,$850000
456,Brad Miller,PHO,$848000
457,Tyler Honeycutt,SAC,$809875
458,Kyle O'Quinn,ORL,$788872
459,Shaun Livingston,CLE,$1100849
460,Isaiah Thomas,SAC,$762195
461,P.J. Tucker,PHO,$762195
462,Justin Harper,ORL,$762195
463,E'Twaun Moore,ORL,$762195
464,DeAndre Liggins,OKC,$762195
465,Lance Thomas,NOH,$762195
466,Malcolm Lee,MIN,$762195
467,Josh Selby,MEM,$762195
468,Trey Thompkins,LAC,$762195
469,Greg Smith,HOU,$762195
470,Charles Jenkins,GSW,$762195
471,Jeremy Tyler,GSW,$762195
472,Vernon Macklin,DET,
473,Julyan Stone,DEN,$762195
474,Jon Leuer,CLE,$762195
475,Jordan Williams,ATL,$762195
476,James Anderson,HOU,$750000
477,Mickael Pietrus,TOR,$1005097
478,Quincy Acy,TOR,$665000
479,,CHA,$653356
480,Doron Lamb,MIL,$650000
481,Derek Fisher,HOU,$644005
482,Jae Crowder,DAL,$600941
483,Martell Webster,MIN,$600000
484,Jeff Taylor,CHA,$575000
485,Garrett Temple,WAS,$572943
486,Will Barton,POR,$550000
487,Orlando Johnson,IND,$550000
488,Daequan Cook,CHI,$595608
489,Kevin Murphy,UTA,$473604
490,Luke Zeller,PHO,$473604
491,Diante Garrett,PHO,$473604
492,DeQuan Jones,ORL,$473604
493,Chris Copeland,NYK,$473604
494,Pablo Prigioni,NYK,$473604
495,Brian Roberts,NOH,$473604
496,Darius Miller,NOH,$473604
497,Robert Sacre,LAL,$473604
498,Ben Hansbrough,IND,$473604
499,Kent Bazemore,GSW,$473604
500,Khris Middleton,DET,$473604
501,Kim English,DET,$473604
502,Quincy Miller,DEN,$473604
503,Bernard James,DAL,$473604
504,Tyshawn Taylor,BRK,$473604
505,Tornike Shengelia,BRK,$473604
506,Mike Scott,ATL,$473604
507,Josh Childress,BRK,$440386
508,Keyon Dooling,BOS,$400000
509,Kevin Jones,CLE,$390027
510,Earl Barron,WAS,$384360
511,Sam Young,IND,$369668
512,Samardo Samuels,CLE,$356833
513,Josh Harrellson,MIA,$327296
514,Terrel Harris,MIA,$318329
515,Shelvin Mack,WAS,$300000
516,(Michael Eric),CLE,$300000
517,Patrick Beverley,HOU,$281376
518,Josh Howard,MIN,$274775
519,Donald Sloan,CLE,$264527
520,Troy Murphy,DAL,$250000
521,Derek Fisher,DAL,$206804
522,Darius Johnson-Odom,LAL,$203371
523,Scott Machado,HOU,$203371
524,Maalik Wayns,PHI,$197799
525,Kris Joseph,BOS,$197799
526,Cory Higgins,CHA,$192791
527,Darko Milicic,BOS,$180773
528,James Anderson,SAS,$160826
529,Jannero Pargo,WAS,$137387
530,Dominic McGuire,NOH,$105107
531,Daniel Orton,OKC,$100000
532,Will Conroy,MIN,$95491
533,(Hollis Thompson),OKC,$75000
534,Chris Douglas-Roberts,DAL,$72892
535,Shelvin Mack,WAS,$62769
536,Eddy Curry,DAL,$55678
537,Lazar Hayward,MIN,$50258
538,Dominic McGuire,IND,$58393
539,Mike James,DAL,$79540
540,Kevin Jones,CLE,$50000
541,Donald Sloan,NOH,$44835
542,Josh Harrellson,MIA,$44835
543,Jarvis Varnado,BOS,$39003
544,Lazar Hayward,MIN,$35181
545,Maalik Wayns,PHI,$27859
546,Jarvis Varnado,MIA,$27859
547,Andy Rautins,OKC,$25000
548,(Dionte Christmas),BOS,$25000
549,(Jamar Smith),BOS,$25000
